"hs_id","hs_path","hs_created_at","hs_name","hs_child_table_id","hs_updated_at","name","location_name","meta_title","meta_description","hero_heading","hero_intro","hero_body","google_map_embed"
"212391109656","myrtle-beach","2026-05-06 19:25:48","Myrtle Beach","0","2026-05-08 18:05:24","","Myrtle Beach","Myrtle Beach Roofing | Linta Roofing","Trusted roofing contractors in Myrtle Beach, South Carolina. Linta Roofing offers roof replacement, repair, storm damage restoration, and inspections — licensed, insured, and built for coastal weather.","Myrtle Beach Roofing Company You Can Trust","Myrtle Beach is a community we know well, and Linta Roofing is dedicated to protecting it with superior craftsmanship and reliable service. We invest in local partnerships and help our neighbors stay prepared for coastal weather challenges. We take pride in serving Myrtle Beach and keeping South Carolina's coast standing strong.","Myrtle Beach's Most Trusted Roofers","<iframe src=""https://maps.google.com/maps?q=Myrtle+Beach%2C+SC&z=12&output=embed"" width=""100%"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade"" title=""Map of Myrtle Beach, SC""></iframe>"
"212391109657","surfside-beach","2026-05-06 19:25:48","Surfside Beach","0","2026-05-08 18:05:34","","Surfside Beach","Surfside Beach Roofing | Linta Roofing","Trusted roofing contractors in Surfside Beach, South Carolina. Linta Roofing offers roof replacement, repair, storm damage restoration, and inspections — licensed, insured, and built for coastal weather.","Surfside Beach Roofing Company You Can Trust","Surfside Beach is a community we know well, and Linta Roofing is dedicated to protecting it with superior craftsmanship and reliable service. We invest in local partnerships and help our neighbors stay prepared for coastal weather challenges. We take pride in serving Surfside Beach and keeping South Carolina's coast standing strong.","Surfside Beach's Most Trusted Roofers","<iframe src=""https://maps.google.com/maps?q=Surfside+Beach%2C+SC&z=12&output=embed"" width=""100%"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade"" title=""Map of Surfside Beach, SC""></iframe>"
"212391109658","murrells-inlet","2026-05-06 19:25:48","Murrells Inlet","0","2026-05-08 18:05:46","","Murrells Inlet","Murrells Inlet Roofing | Linta Roofing","Trusted roofing contractors in Murrells Inlet, South Carolina. Linta Roofing offers roof replacement, repair, storm damage restoration, and inspections — licensed, insured, and built for coastal weather.","Murrells Inlet Roofing Company You Can Trust","Murrells Inlet is a community we know well, and Linta Roofing is dedicated to protecting it with superior craftsmanship and reliable service. We invest in local partnerships and help our neighbors stay prepared for coastal weather challenges. We take pride in serving Murrells Inlet and keeping South Carolina's coast standing strong.","Murrells Inlet's Most Trusted Roofers","<iframe src=""https://maps.google.com/maps?q=Murrells+Inlet%2C+SC&z=12&output=embed"" width=""100%"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade"" title=""Map of Murrells Inlet, SC""></iframe>"
"212391109659","carolina-forest","2026-05-06 19:25:48","Carolina Forest","0","2026-05-08 18:07:17","","Carolina Forest","Carolina Forest Roofing | Linta Roofing","Trusted roofing contractors in Carolina Forest, South Carolina. Linta Roofing offers roof replacement, repair, storm damage restoration, and inspections — licensed, insured, and built for coastal weather.","Carolina Forest Roofing Company You Can Trust","Carolina Forest Roofing Company You Can Trust","Carolina Forest's Most Trusted Roofers","<iframe src=""https://maps.google.com/maps?q=Carolina+Forest%2C+SC&z=12&output=embed"" width=""100%"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade"" title=""Map of Carolina Forest, SC""></iframe>"
"212391109660","conway","2026-05-06 19:25:48","Conway","0","2026-05-08 18:07:11","","Conway","Conway Roofing | Linta Roofing","Trusted roofing contractors in Conway, South Carolina. Linta Roofing offers roof replacement, repair, storm damage restoration, and inspections — licensed, insured, and built for coastal weather.","Conway Roofing Company You Can Trust","Conway Roofing Company You Can Trust","Conway's Most Trusted Roofers","<iframe src=""https://maps.google.com/maps?q=Conway%2C+SC&z=12&output=embed"" width=""100%"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade"" title=""Map of Conway, SC""></iframe>"
"212391109661","north-myrtle-beach","2026-05-06 19:25:48","North Myrtle Beach","0","2026-05-08 18:07:06","","North Myrtle Beach","North Myrtle Beach Roofing | Linta Roofing","Trusted roofing contractors in North Myrtle Beach, South Carolina. Linta Roofing offers roof replacement, repair, storm damage restoration, and inspections — licensed, insured, and built for coastal weather.","North Myrtle Beach Roofing Company You Can Trust","North Myrtle Beach Roofing Company You Can Trust","North Myrtle Beach's Most Trusted Roofers","<iframe src=""https://maps.google.com/maps?q=North+Myrtle+Beach%2C+SC&z=12&output=embed"" width=""100%"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade"" title=""Map of North Myrtle Beach, SC""></iframe>"
"212391109662","little-river","2026-05-06 19:25:48","Little River","0","2026-05-08 18:07:01","","Little River","Little River Roofing | Linta Roofing","Trusted roofing contractors in Little River, South Carolina. Linta Roofing offers roof replacement, repair, storm damage restoration, and inspections — licensed, insured, and built for coastal weather.","Little River Roofing Company You Can Trust","Little River Roofing Company You Can Trust","Little River's Most Trusted Roofers","<iframe src=""https://maps.google.com/maps?q=Little+River%2C+SC&z=12&output=embed"" width=""100%"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade"" title=""Map of Little River, SC""></iframe>"
"212391109663","ocean-isle-beach","2026-05-06 19:25:48","Ocean Isle Beach","0","2026-05-08 18:06:56","","Ocean Isle Beach","Ocean Isle Beach Roofing | Linta Roofing","Trusted roofing contractors in Ocean Isle Beach, North Carolina. Linta Roofing offers roof replacement, repair, storm damage restoration, and inspections — licensed, insured, and built for coastal weather.","Ocean Isle Beach Roofing Company You Can Trust","Ocean Isle Beach Roofing Company You Can Trust","Ocean Isle Beach's Most Trusted Roofers","<iframe src=""https://maps.google.com/maps?q=Ocean+Isle+Beach%2C+NC&z=12&output=embed"" width=""100%"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade"" title=""Map of Ocean Isle Beach, NC""></iframe>"
"212391109664","holden-beach","2026-05-06 19:25:48","Holden Beach","0","2026-05-08 18:06:48","","Holden Beach","Holden Beach Roofing | Linta Roofing","Trusted roofing contractors in Holden Beach, North Carolina. Linta Roofing offers roof replacement, repair, storm damage restoration, and inspections — licensed, insured, and built for coastal weather.","Holden Beach Roofing Company You Can Trust","Holden Beach is a community we know well, and Linta Roofing is dedicated to protecting it with superior craftsmanship and reliable service. We invest in local partnerships and help our neighbors stay prepared for coastal weather challenges. We take pride in serving Holden Beach and keeping North Carolina's coast standing strong.","Holden Beach's Most Trusted Roofers","<iframe src=""https://maps.google.com/maps?q=Holden+Beach%2C+NC&z=12&output=embed"" width=""100%"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade"" title=""Map of Holden Beach, NC""></iframe>"
"212391109665","sunset-beach","2026-05-06 19:25:48","Sunset Beach","0","2026-05-08 18:08:21","","Sunset Beach","Sunset Beach Roofing | Linta Roofing","Trusted roofing contractors in Sunset Beach, North Carolina. Linta Roofing offers roof replacement, repair, storm damage restoration, and inspections — licensed, insured, and built for coastal weather.","Sunset Beach Roofing Company You Can Trust","Sunset Beach is a community we know well, and Linta Roofing is dedicated to protecting it with superior craftsmanship and reliable service. We invest in local partnerships and help our neighbors stay prepared for coastal weather challenges. We take pride in serving Sunset Beach and keeping North Carolina's coast standing strong.","Sunset Beach's Most Trusted Roofers","<iframe src=""https://maps.google.com/maps?q=Sunset+Beach%2C+NC&z=12&output=embed"" width=""100%"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade"" title=""Map of Sunset Beach, NC""></iframe>"
"212391109666","oak-island","2026-05-06 19:25:48","Oak Island","0","2026-05-08 18:08:29","","Oak Island","Oak Island Roofing | Linta Roofing","Trusted roofing contractors in Oak Island, North Carolina. Linta Roofing offers roof replacement, repair, storm damage restoration, and inspections — licensed, insured, and built for coastal weather.","Oak Island Roofing Company You Can Trust","Oak Island is a community we know well, and Linta Roofing is dedicated to protecting it with superior craftsmanship and reliable service. We invest in local partnerships and help our neighbors stay prepared for coastal weather challenges. We take pride in serving Oak Island and keeping North Carolina's coast standing strong.","Oak Island's Most Trusted Roofers","<iframe src=""https://maps.google.com/maps?q=Oak+Island%2C+NC&z=12&output=embed"" width=""100%"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade"" title=""Map of Oak Island, NC""></iframe>"
"212391109667","caswell-beach","2026-05-06 19:25:48","Caswell Beach","0","2026-05-08 18:39:07","","Caswell Beach","Caswell Beach Roofing | Linta Roofing","Trusted roofing contractors in Caswell Beach, North Carolina. Linta Roofing offers roof replacement, repair, storm damage restoration, and inspections — licensed, insured, and built for coastal weather.","Caswell Beach Roofing Company You Can Trust","Caswell Beach is a community we know well, and Linta Roofing is dedicated to protecting it with superior craftsmanship and reliable service. We invest in local partnerships and help our neighbors stay prepared for coastal weather challenges. We take pride in serving Caswell Beach and keeping North Carolina's coast standing strong.","Caswell Beach's Most Trusted Roofers","<iframe src=""https://maps.google.com/maps?q=Caswell+Beach%2C+NC&z=12&output=embed"" width=""100%"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade"" title=""Map of Caswell Beach, NC""></iframe>"
"212391109668","long-beach","2026-05-06 19:25:48","Long Beach","0","2026-05-08 18:39:09","","Long Beach","Long Beach Roofing | Linta Roofing","Trusted roofing contractors in Long Beach, North Carolina. Linta Roofing offers roof replacement, repair, storm damage restoration, and inspections — licensed, insured, and built for coastal weather.","Long Beach Roofing Company You Can Trust","Long Beach is a community we know well, and Linta Roofing is dedicated to protecting it with superior craftsmanship and reliable service. We invest in local partnerships and help our neighbors stay prepared for coastal weather challenges. We take pride in serving Long Beach and keeping North Carolina's coast standing strong.","Long Beach's Most Trusted Roofers","<iframe src=""https://maps.google.com/maps?q=Long+Beach%2C+NC&z=12&output=embed"" width=""100%"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade"" title=""Map of Long Beach, NC""></iframe>"
"212391109669","brunswick-county","2026-05-06 19:25:48","Brunswick County","0","2026-05-08 18:40:55","","Brunswick County","Brunswick County Roofing Company | Linta Roofing","Trusted roofing contractors throughout Brunswick County, North Carolina. Linta Roofing delivers roof replacement, repair, storm damage restoration, and inspections across every community in the county — licensed, insured, and built for coastal weather.","Brunswick County Roofing Company You Can Trust","Brunswick County covers some of North Carolina's most distinctive coastal communities, and Linta Roofing is dedicated to protecting them with superior craftsmanship and reliable service. From inland neighborhoods to oceanfront properties, we deliver roofing solutions built for the unique demands of every corner of the county.","Brunswick County's Most Trusted Roofers","<iframe src=""https://maps.google.com/maps?q=Brunswick+County%2C+NC&z=10&output=embed"" width=""100%"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade"" title=""Map of Brunswick County, NC""></iframe>"
"212391109670","columbus-county","2026-05-06 19:25:48","Columbus County","0","2026-05-08 18:39:15","","Columbus County","Columbus County Roofing | Linta Roofing","Trusted roofing contractors throughout Columbus County, North Carolina. Linta Roofing delivers roof replacement, repair, storm damage restoration, and inspections across every community in the county — licensed, insured, and built for coastal weather.","Columbus County Roofing Company You Can Trust","Columbus County covers some of North Carolina's most distinctive coastal communities, and Linta Roofing is dedicated to protecting them with superior craftsmanship and reliable service. From inland neighborhoods to oceanfront properties, we deliver roofing solutions built for the unique demands of every corner of the county.","Columbus County's Most Trusted Roofers","<iframe src=""https://maps.google.com/maps?q=Columbus+County%2C+NC&z=10&output=embed"" width=""100%"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade"" title=""Map of Columbus County, NC""></iframe>"
"212391109671","georgetown-county","2026-05-06 19:25:48","Georgetown County","0","2026-05-08 18:39:19","","Georgetown County","Georgetown County Roofing | Linta Roofing","Trusted roofing contractors throughout Georgetown County, South Carolina. Linta Roofing delivers roof replacement, repair, storm damage restoration, and inspections across every community in the county — licensed, insured, and built for coastal weather.","Georgetown County Roofing Company You Can Trust","Georgetown County covers some of South Carolina's most distinctive coastal communities, and Linta Roofing is dedicated to protecting them with superior craftsmanship and reliable service. From inland neighborhoods to oceanfront properties, we deliver roofing solutions built for the unique demands of every corner of the county.","Georgetown County's Most Trusted Roofers","<iframe src=""https://maps.google.com/maps?q=Georgetown+County%2C+SC&z=10&output=embed"" width=""100%"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade"" title=""Map of Georgetown County, SC""></iframe>"
"212391109672","georgetown","2026-05-06 19:25:48","Georgetown","0","2026-05-08 18:39:21","","Georgetown","Georgetown Roofing | Linta Roofing","Trusted roofing contractors in Georgetown, South Carolina. Linta Roofing offers roof replacement, repair, storm damage restoration, and inspections — licensed, insured, and built for coastal weather.","Georgetown Roofing Company You Can Trust","Georgetown is a community we know well, and Linta Roofing is dedicated to protecting it with superior craftsmanship and reliable service. We invest in local partnerships and help our neighbors stay prepared for coastal weather challenges. We take pride in serving Georgetown and keeping South Carolina's coast standing strong.","Georgetown's Most Trusted Roofers","<iframe src=""https://maps.google.com/maps?q=Georgetown%2C+SC&z=12&output=embed"" width=""100%"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade"" title=""Map of Georgetown, SC""></iframe>"
"212391109673","marion-county","2026-05-06 19:25:48","Marion County","0","2026-05-08 18:39:24","","Marion County","Marion County Roofing | Linta Roofing","Trusted roofing contractors throughout Marion County, South Carolina. Linta Roofing delivers roof replacement, repair, storm damage restoration, and inspections across every community in the county — licensed, insured, and built for coastal weather.","Marion County Roofing Company You Can Trust","Marion County covers some of South Carolina's most distinctive coastal communities, and Linta Roofing is dedicated to protecting them with superior craftsmanship and reliable service. From inland neighborhoods to oceanfront properties, we deliver roofing solutions built for the unique demands of every corner of the county.","Marion County's Most Trusted Roofers","<iframe src=""https://maps.google.com/maps?q=Marion+County%2C+SC&z=10&output=embed"" width=""100%"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade"" title=""Map of Marion County, SC""></iframe>"
